pageid,ns,title,contentmodel,pagelanguage,pagelanguagehtmlcode,pagelanguagedir,touched,lastrevid,length,talkid,fullurl,editurl,canonicalurl,article_rating,watchers,redirect,new
27428272,0,Abdul Baqi Turkistani,wikitext,en,en,ltr,2024-10-13T20:04:54Z,1231655023,1357,27595416.0,https://en.wikipedia.org/wiki/Abdul_Baqi_Turkistani,https://en.wikipedia.org/w/index.php?title=Abdul_Baqi_Turkistani&action=edit,https://en.wikipedia.org/wiki/Abdul_Baqi_Turkistani,Stub,,,
29443640,0,Abdul Ghani Ghani,wikitext,en,en,ltr,2024-10-13T16:01:39Z,1227026187,1292,29453228.0,https://en.wikipedia.org/wiki/Abdul_Ghani_Ghani,https://en.wikipedia.org/w/index.php?title=Abdul_Ghani_Ghani&action=edit,https://en.wikipedia.org/wiki/Abdul_Ghani_Ghani,Stub,,,
44482763,0,Abdul Rahim Ayoubi,wikitext,en,en,ltr,2024-10-13T16:04:38Z,1226326055,7313,44489967.0,https://en.wikipedia.org/wiki/Abdul_Rahim_Ayoubi,https://en.wikipedia.org/w/index.php?title=Abdul_Rahim_Ayoubi&action=edit,https://en.wikipedia.org/wiki/Abdul_Rahim_Ayoubi,Start,,,
34682634,0,Ahmad Wali Massoud,wikitext,en,en,ltr,2024-10-13T20:05:33Z,1221720658,3529,34682647.0,https://en.wikipedia.org/wiki/Ahmad_Wali_Massoud,https://en.wikipedia.org/w/index.php?title=Ahmad_Wali_Massoud&action=edit,https://en.wikipedia.org/wiki/Ahmad_Wali_Massoud,Start,,,
52438668,0,Aimal Faizi,wikitext,en,en,ltr,2024-10-13T16:05:38Z,1185105938,2791,52491442.0,https://en.wikipedia.org/wiki/Aimal_Faizi,https://en.wikipedia.org/w/index.php?title=Aimal_Faizi&action=edit,https://en.wikipedia.org/wiki/Aimal_Faizi,Stub,,,
12084570,0,Amir Muhammad Akhundzada,wikitext,en,en,ltr,2024-10-05T14:27:31Z,1247931713,8865,23510494.0,https://en.wikipedia.org/wiki/Amir_Muhammad_Akhundzada,https://en.wikipedia.org/w/index.php?title=Amir_Muhammad_Akhundzada&action=edit,https://en.wikipedia.org/wiki/Amir_Muhammad_Akhundzada,Start,,,
47805901,0,Aziza Ahmadyar,wikitext,en,en,ltr,2024-10-13T14:46:20Z,1195651393,3790,47806200.0,https://en.wikipedia.org/wiki/Aziza_Ahmadyar,https://en.wikipedia.org/w/index.php?title=Aziza_Ahmadyar&action=edit,https://en.wikipedia.org/wiki/Aziza_Ahmadyar,Start,,,
24850187,0,Azizullah Lodin,wikitext,en,en,ltr,2024-10-13T20:04:43Z,1247762293,3067,24850621.0,https://en.wikipedia.org/wiki/Azizullah_Lodin,https://en.wikipedia.org/w/index.php?title=Azizullah_Lodin&action=edit,https://en.wikipedia.org/wiki/Azizullah_Lodin,Start,,,
23672202,0,Baran Khan Kudezai,wikitext,en,en,ltr,2024-10-13T20:04:38Z,1176481824,3759,23992347.0,https://en.wikipedia.org/wiki/Baran_Khan_Kudezai,https://en.wikipedia.org/w/index.php?title=Baran_Khan_Kudezai&action=edit,https://en.wikipedia.org/wiki/Baran_Khan_Kudezai,Start,,,
27663861,0,Bashir Ahmad Bezan,wikitext,en,en,ltr,2024-10-13T20:04:55Z,1248505877,2298,28093401.0,https://en.wikipedia.org/wiki/Bashir_Ahmad_Bezan,https://en.wikipedia.org/w/index.php?title=Bashir_Ahmad_Bezan&action=edit,https://en.wikipedia.org/wiki/Bashir_Ahmad_Bezan,Start,,,
